row_id,vehicle_count,avg_vehicle_speed_kmph,road_occupancy_pct,pedestrian_count,incident_distance_m
EVT_00238,20,8.4,65.1,3,3.7
EVT_01677,44,7.4,85.3,7,462.8
EVT_00486,28,10.9,75.1,3,4.8
EVT_00731,30,58.1,20.3,0,319.6
EVT_00689,12,,39.1,2,108.4
EVT_00388,32,31.1,77.4,24,76.8
EVT_01610,19,46.2,30.2,3,225.1
EVT_01945,3,23.8,5.7,2,154.1
EVT_00266,30,19.8,66.3,4,38.6
EVT_01500,14,58.7,18.5,13,68.0
EVT_00452,33,21.9,59.7,2,310.9
EVT_00773,30,8.3,53.7,10,57.4
EVT_00576,3,51.4,0.0,1,462.7
EVT_00334,28,0.0,41.6,8,392.9
EVT_01841,21,11.7,67.3,4,39.7
EVT_00910,3,66.6,0.0,0,97.7
EVT_00120,6,18.3,40.3,26,90.0
EVT_00196,17,,35.6,7,367.8
EVT_01115,49,11.2,3.7,15,475.8
EVT_00300,34,34.4,30.3,6,46.4
EVT_00101,22,43.0,18.9,5,68.0
EVT_01247,40,24.7,87.4,9,275.4
EVT_01103,61,10.1,75.1,10,173.2
EVT_01048,17,7.2,87.7,3,259.0
EVT_00582,30,34.4,56.1,5,112.8
EVT_01621,48,16.2,53.9,5,37.4
EVT_00761,16,35.8,20.8,17,41.3
EVT_00522,3,35.6,8.0,1,131.5
EVT_01213,17,17.6,50.3,9,418.2
EVT_01996,20,0.7,52.1,15,3.1
EVT_01217,12,35.7,30.9,3,103.8
EVT_01428,1,40.6,58.6,21,47.3
EVT_01880,22,6.5,61.7,10,74.4
EVT_00031,10,32.1,35.3,7,103.6
EVT_00374,10,29.9,29.4,3,174.5
EVT_00473,21,5.5,49.8,1,20.0
EVT_01147,35,30.6,28.4,5,490.9
EVT_01233,47,30.5,44.9,5,410.1
EVT_00923,27,30.5,68.5,7,25.9
EVT_01343,25,-85.08,30.4,10,47.3
EVT_00943,23,52.0,40.4,3,394.3
EVT_00822,33,12.8,49.1,4,314.8
EVT_00007,4,26.5,13.4,1,110.7
EVT_00230,4,25.1,10.4,3,65.0
EVT_01757,26,25.3,60.0,6,169.4
EVT_00141,14,24.0,51.6,19,176.4
EVT_00304,6,19.6,61.8,9,47.1
EVT_00478,19,31.4,19.0,3,42.9
EVT_01825,31,21.5,33.3,13,473.6
EVT_00011,38,30.2,,11,40.2
EVT_01943,1,32.2,7.9,3,401.9
EVT_00201,4,57.3,14.5,1,203.2
EVT_00469,7,42.7,0.0,1,155.9
EVT_01082,20,15.7,26.6,15,418.2
EVT_01242,23,34.2,27.7,12,35.7
EVT_00445,19,42.6,41.5,8,63.0
EVT_00086,4,64.0,5.6,2,442.1
EVT_01026,0,38.8,1081.18,4,396.1
EVT_00917,13,14.3,23.9,2,65.4
EVT_00895,38,9.1,61.9,7,80.9
EVT_00372,31,4.4,81.3,7,88.2
EVT_01104,11,52.6,7.3,1,137.7
EVT_00355,16,38.5,0.0,4,48.3
EVT_01649,2,53.9,34.1,1,173.0
EVT_00479,20,39.5,28.6,8,178.1
EVT_00794,42,14.7,81.5,6,39.2
EVT_01200,54,14.2,27.6,2,211.1
EVT_00349,33,32.7,28.5,3,51.6
EVT_00767,37,18.9,75.0,7,114.5
EVT_01417,56,7.1,43.6,5,124.5
