row_id,avg_vehicle_speed_kmph,vehicle_count,pedestrian_count,road_occupancy_pct,incident_distance_m
EVT_01469,2,36.8,9.3,1,89.7
EVT_01272,23,38.9,34.6,3,430.9
EVT_00466,3,1.8,25.4,1,125.9
EVT_00034,35,10.1,64.5,22,54.3
EVT_01780,32,10.6,48.9,6,61.3
EVT_01234,11,47.7,41.3,5,229.4
EVT_00366,58,19.4,56.7,6,36.0
EVT_00471,34,14.3,68.6,5,10.6
EVT_01748,10,40.9,25.5,2,488.0
EVT_00764,6,41.1,2.6,1,77.3
EVT_00404,47,18.1,63.6,11,181.6
EVT_01106,32,15.1,53.4,5,7.6
EVT_01615,22,37.1,26.8,2,453.7
EVT_01423,17,10.0,26.4,30,72.6
EVT_00800,30,-83.91,41.9,6,408.5
EVT_01323,14,28.0,2.9,2,179.6
EVT_01793,0,20.1,42.0,44,35.5
EVT_01940,17,36.4,36.1,5,92.1
EVT_01510,24,25.6,74.2,10,8.7
EVT_00729,3,76.8,4.6,1,52.8
EVT_00768,25,15.3,77.9,3,263.5
EVT_01918,24,18.9,73.4,5,266.0
EVT_00654,7,50.5,41.3,30,74.4
EVT_00566,18,15.6,41.5,1,32.3
EVT_00606,24,43.6,43.4,1,193.8
EVT_00098,3,48.3,11.4,2,72.6
EVT_01176,17,44.7,21.9,20,59.8
EVT_00795,2,50.9,14.0,1,163.6
EVT_01187,32,27.1,37.7,8,22.6
EVT_00981,28,23.5,56.3,19,110.0
EVT_01723,27,13.8,73.4,11,309.2
EVT_00470,52,,98.4,2,330.5
EVT_01315,26,43.9,34.1,5,116.3
EVT_01762,42,22.8,,4,90.9
EVT_00026,19,34.8,14.5,4,112.3
EVT_01854,6,38.6,0.2,2,201.1
EVT_00016,30,20.9,76.2,5,276.2
EVT_00486,28,10.9,75.1,3,4.8
EVT_00216,1608,56.4,,3,152.2
EVT_01266,3,60.7,13.6,2,305.0
EVT_01745,21,44.7,36.2,1,52.7
EVT_01408,8,67.7,13.2,1,97.0
EVT_00138,12,50.2,32.7,7,43.9
EVT_01403,9,15.4,51.7,10,436.3
EVT_00217,31,20.9,67.9,2,2.1
EVT_00863,19,44.6,23.6,4,204.2
EVT_00261,43,17.8,87.6,2,283.8
EVT_01965,26,,86.0,7,
EVT_00726,16,13.7,54.6,8,18.1
EVT_00231,54,19.5,54.9,6,389.0
EVT_00248,57,37.1,26.8,4,379.0
EVT_01488,22,63.2,56.4,6,485.7
EVT_01653,22,28.1,44.3,3,107.0
EVT_01151,1,31.2,51.4,19,394.9
EVT_01596,18,39.5,40.6,2,64.5
EVT_00093,36,26.6,96.5,6,47.0
EVT_01861,28,7.0,57.0,3,124.8
EVT_01904,43,7.1,98.2,6,195.1
EVT_01503,16,0.0,26.7,2,96.0
EVT_00087,3,59.6,13.0,1,182.1
EVT_01533,14,23.5,41.0,30,
EVT_01306,4,35.2,0.0,0,238.3
EVT_00052,15,14.6,73.3,24,78.1
EVT_01741,5,19.8,28.0,33,148.9
EVT_00739,12,42.9,19.5,7,87.9
EVT_01170,6,46.9,12.0,1,245.1
EVT_00878,4,63.9,0.0,4,113.0
EVT_00997,23,52.1,31.3,2,177.5
EVT_01784,50,17.4,47.5,9,38.7
EVT_00626,19,33.0,14.1,8,
EVT_00326,26,27.6,3.1,18,323.4
EVT_01236,32,13.2,19.9,2,41.1
EVT_00561,22,36.1,40.3,15,101.9
EVT_01746,26,25.8,21.2,6,491.8
EVT_01660,16,41.9,47.9,23,73.3
EVT_01502,7,51.6,16.2,5,52.4
EVT_00373,22,29.9,16.5,11,232.7
EVT_01995,19,27.0,28.0,36,423.2
EVT_00951,14,41.3,53.0,8,137.8
EVT_01354,6,31.6,29.6,6,233.8
EVT_00062,6,16.2,48.0,1,2.4
EVT_01707,30,22.5,60.8,6,38.0
EVT_00808,6,36.4,58.9,35,302.6
EVT_01020,3,14.3,67.0,7,20.8
EVT_01632,3,76.3,9.6,0,437.4
EVT_00578,5,43.9,5.3,1,111.2
EVT_01077,25,38.7,59.5,20,447.2
EVT_01704,25,17.2,55.2,4,3.7
EVT_01136,20,,36.3,2,45.7
EVT_01871,37,18.6,76.8,10,113.5
EVT_00712,3,59.8,6.1,0,89.9
EVT_01979,33,12.8,95.9,7,66.2
EVT_00418,36,8.1,67.6,7,148.7
EVT_01601,19,20.2,40.0,15,73.4
EVT_01449,42,14.4,57.2,4,234.4
EVT_01349,12,38.3,30.8,6,67.8
EVT_01149,7,30.5,9.1,2,84.5
EVT_01289,17,3.8,56.4,15,97.6
EVT_00569,30,21.1,,3,4.0
EVT_00402,12,57.1,56.6,4,74.2
EVT_00725,45,10.6,48.0,6,35.4
EVT_01192,2,51.3,31.9,9,153.8
EVT_01029,35,10.3,69.9,10,259.8
EVT_00262,19,,37.5,4,92.3
EVT_00807,18,36.4,42.9,23,181.1
EVT_01233,47,30.5,44.9,5,410.1
EVT_00687,29,17.9,29.9,21,336.2
EVT_01178,6,46.1,2.5,0,177.7
EVT_01609,35,0.0,81.5,9,163.2
EVT_01579,30,20.6,75.1,5,48.1
EVT_00074,30,8.9,58.0,5,389.3
EVT_00917,13,14.3,23.9,2,65.4
EVT_01350,14,26.9,54.6,29,45.7
EVT_00246,7,45.1,12.5,1,134.0
EVT_01377,24,11.6,42.4,3,5.5
EVT_01563,6,57.5,28.8,6,205.3
EVT_00369,2,26.1,37.1,14,186.4
EVT_00227,0,30.0,25.6,11,107.1
EVT_00849,17,29.2,47.5,34,241.2
EVT_00581,25,6.2,30.8,3,41.0
EVT_01012,23,23.3,29.9,26,43.7
EVT_01765,31,15.0,17.9,21,
EVT_00374,10,29.9,29.4,3,174.5
EVT_00159,4,21.6,35.0,7,420.4
EVT_00383,19,1.0,39.7,30,94.5
EVT_01607,14,25.5,48.0,6,2.1
EVT_00533,19,15.0,66.6,2,4.3
EVT_00047,17,58.2,36.1,3,298.6
EVT_01251,32,43.4,25.4,9,441.1
EVT_00752,21,17.5,43.7,9,70.8
EVT_00905,16,45.6,50.3,3,90.8
EVT_00311,11,68.4,15.6,0,215.0
EVT_01639,30,31.7,45.0,6,100.8
