row_id,time_of_day_hr,visibility_m,rain_intensity_mmhr,road_wetness_pct,noise_level_db,ambient_temperature_c,humidity_pct,camera_exposure_score,camera_focus_score,lane_marking_visibility_pct,signal_wait_time_s
EVT_00238,21.42,978.9,0.0,9.7,60.2,29.4,51.2,8.7,91.4,94.7,12.0
EVT_01677,19.37,1107.3,0.0,5.3,56.6,27.7,51.7,25.7,88.5,85.3,86.0
EVT_00486,20.74,718.9,0.0,20.5,60.8,23.7,,2.3,90.5,87.7,101.0
EVT_00731,20.83,,0.0,8.7,51.0,26.7,54.7,32.6,100.0,82.7,24.0
EVT_00689,21.03,885.6,0.0,23.5,47.9,28.0,57.6,22.4,80.2,67.0,13.0
EVT_00388,9.65,1919.1,0.0,20.5,58.8,26.1,66.8,76.7,94.7,91.7,56.0
EVT_01610,21.68,1148.0,0.0,9.7,53.1,24.9,72.9,1.6,88.5,87.6,3.0
EVT_01945,0.37,780.4,3.9,43.9,52.0,24.1,81.8,11.4,93.8,78.1,6.0
EVT_00266,18.63,2060.3,1.82,37.9,55.9,34.1,75.2,30.2,85.2,90.2,58.0
EVT_01500,20.34,764.8,0.12,34.3,56.7,23.1,74.0,12.9,91.9,78.5,17.0
EVT_00452,16.34,2677.6,0.0,13.9,57.2,35.5,56.5,54.1,79.8,80.9,109.0
EVT_00773,7.74,1856.3,7.54,41.6,57.0,25.0,81.6,52.4,87.0,79.0,69.0
EVT_00576,0.14,855.8,5.83,58.4,55.2,15.3,71.5,1.5,86.6,75.1,10.0
EVT_00334,8.63,1324.7,14.71,100.0,73.3,24.3,100.0,49.5,87.4,55.9,71.0
EVT_01841,8.4,1716.2,0.0,3.0,54.8,25.8,59.4,65.3,97.3,100.0,57.0
EVT_00910,0.87,740.5,0.0,2.0,55.2,22.7,66.1,23.7,98.6,70.2,12.0
EVT_00120,7.35,2143.8,0.0,2.1,45.8,24.9,55.9,39.1,79.1,80.4,53.0
EVT_00196,18.38,1682.8,9.65,68.3,64.6,25.4,87.5,38.0,91.4,73.7,11.0
EVT_01115,12.09,1862.5,6.73,50.2,60.1,25.7,67.1,92.5,85.6,88.1,8.0
EVT_00300,18.53,,0.0,3.4,63.4,30.9,56.5,40.1,100.0,98.0,20.0
EVT_00101,20.16,1231.6,0.0,15.3,54.5,24.4,64.6,13.6,88.0,74.5,7.0
EVT_01247,11.04,2032.5,0.0,2.3,57.5,22.3,71.9,71.9,84.1,85.1,38.0
EVT_01103,18.9,2043.5,0.0,7.1,60.7,31.1,71.3,14.9,76.7,87.9,91.0
EVT_01048,13.7,1813.2,0.0,2.1,48.4,31.4,49.1,83.7,80.9,85.7,81.0
EVT_00582,7.14,1946.7,0.0,24.6,54.1,18.9,70.8,45.6,86.4,94.9,24.0
EVT_01621,17.64,2217.4,0.0,7.4,64.2,28.9,,27.1,77.0,100.0,101.0
EVT_00761,18.32,1698.0,8.49,51.0,60.6,29.2,73.2,42.1,93.7,75.5,5.0
EVT_00522,23.04,924.0,0.0,19.1,45.1,24.4,65.8,14.3,78.2,83.1,7.0
EVT_01213,21.8,567.4,7.64,46.7,57.7,,82.6,11.1,92.8,89.3,60.0
EVT_01996,8.84,2504.4,0.0,3.0,54.1,23.4,76.4,67.4,83.9,88.9,47.0
EVT_01217,12.86,2302.4,0.0,19.4,58.8,28.2,78.9,83.9,90.1,89.2,29.0
EVT_01428,7.7,2572.6,0.0,4.8,41.4,26.1,64.5,53.3,89.6,85.5,50.0
EVT_01880,19.56,948.1,0.0,5.2,54.6,23.8,63.4,28.7,84.6,92.0,
EVT_00031,16.02,2259.8,0.0,1.8,48.8,32.4,55.5,62.3,88.0,80.9,24.0
EVT_00374,15.74,1713.9,0.0,0.0,48.9,28.3,52.5,60.3,73.1,94.8,16.0
EVT_00473,23.08,678.8,13.98,81.2,54.8,16.8,98.0,20.5,85.3,53.5,44.0
EVT_01147,7.41,1456.9,0.0,0.5,57.6,23.6,58.0,46.9,93.9,92.9,61.0
EVT_01233,10.25,2042.5,0.0,13.5,61.9,25.1,59.8,64.7,92.4,80.5,62.0
EVT_00923,12.12,2066.9,0.0,3.0,56.4,32.8,49.2,50.2,88.5,,75.0
EVT_01343,19.34,,0.15,37.0,57.3,27.5,61.7,21.1,86.1,,25.0
EVT_00943,9.47,2287.9,0.0,31.4,57.8,22.7,56.5,70.4,96.2,87.9,30.0
EVT_00822,20.56,999.1,0.0,0.7,60.1,25.9,71.3,10.6,89.4,75.6,72.0
EVT_00007,23.24,1412.9,1.79,28.1,56.5,18.5,60.5,38.2,98.9,78.2,8.0
