camera_id,firmware_version,last_calibrated,self_test_status
CAM-001,2.2.0,2025-01-01,OK
CAM-002,2.2.0,2025-01-02,OK
CAM-003,2.2.0,2025-01-03,OK
CAM-004,2.1.0,2025-01-04,OK
CAM-005,2.1.3,2025-01-05,OK
CAM-006,2.1.0,2025-01-06,OK
CAM-007,2.1.3,2025-01-07,OK
CAM-008,2.1.3,2025-01-08,OK
CAM-009,2.1.0,2025-01-09,OK
CAM-010,2.1.0,2025-01-10,OK
CAM-011,2.1.3,2025-01-11,WARN
CAM-012,2.1.3,2025-01-12,OK
CAM-013,2.1.3,2025-01-13,WARN
CAM-014,2.2.0,2025-01-14,OK
CAM-015,2.1.3,2025-01-15,OK
CAM-016,2.1.0,2025-01-16,OK
CAM-017,2.1.0,2025-01-17,OK
CAM-018,2.1.0,2025-01-18,OK
CAM-019,2.1.3,2025-01-19,WARN
CAM-020,2.1.3,2025-01-20,OK
CAM-021,2.2.0,2025-01-21,FAIL
CAM-022,2.2.0,2025-01-22,OK
CAM-023,2.1.0,2025-01-23,OK
CAM-024,2.2.0,2025-01-24,WARN
CAM-025,2.2.0,2025-01-25,OK
CAM-026,2.1.0,2025-01-26,OK
CAM-027,2.1.3,2025-01-27,WARN
CAM-028,2.2.0,2025-01-28,OK
CAM-029,2.1.3,2025-01-29,OK
CAM-030,2.1.0,2025-01-30,WARN
CAM-031,2.1.0,2025-01-31,OK
CAM-032,2.2.0,2025-02-01,WARN
CAM-033,2.1.0,2025-02-02,OK
CAM-034,2.1.0,2025-02-03,OK
CAM-035,2.1.0,2025-02-04,OK
CAM-036,2.2.0,2025-02-05,OK
CAM-037,2.2.0,2025-02-06,OK
CAM-038,2.2.0,2025-02-07,OK
CAM-039,2.1.0,2025-02-08,OK
CAM-040,2.1.3,2025-02-09,OK
CAM-041,2.1.0,2025-02-10,OK
CAM-042,2.2.0,2025-02-11,OK
CAM-043,2.1.3,2025-02-12,OK
CAM-044,2.1.3,2025-02-13,OK
CAM-045,2.2.0,2025-02-14,OK
CAM-046,2.1.3,2025-02-15,OK
CAM-047,2.1.3,2025-02-16,OK
CAM-048,2.2.0,2025-02-17,OK
CAM-049,2.1.3,2025-02-18,OK
CAM-050,2.1.3,2025-02-19,OK
CAM-051,2.2.0,2025-02-20,OK
CAM-052,2.1.3,2025-02-21,FAIL
CAM-053,2.1.3,2025-02-22,WARN
CAM-054,2.1.3,2025-02-23,OK
CAM-055,2.1.3,2025-02-24,OK
CAM-056,2.2.0,2025-02-25,WARN
CAM-057,2.1.0,2025-02-26,OK
CAM-058,2.1.0,2025-02-27,OK
CAM-059,2.1.3,2025-02-28,OK
CAM-060,2.2.0,2025-03-01,OK
CAM-061,2.2.0,2025-03-02,OK
CAM-062,2.1.3,2025-03-03,OK
CAM-063,2.1.0,2025-03-04,OK
CAM-064,2.1.3,2025-03-05,OK
CAM-065,2.2.0,2025-03-06,WARN
CAM-066,2.2.0,2025-03-07,OK
CAM-067,2.1.0,2025-03-08,OK
CAM-068,2.2.0,2025-03-09,OK
CAM-069,2.2.0,2025-03-10,OK
CAM-070,2.2.0,2025-03-11,OK
CAM-071,2.1.0,2025-03-12,OK
CAM-072,2.2.0,2025-03-13,OK
CAM-073,2.1.3,2025-03-14,OK
CAM-074,2.1.0,2025-03-15,OK
CAM-075,2.1.3,2025-03-16,OK
CAM-076,2.1.3,2025-03-17,OK
CAM-077,2.1.0,2025-03-18,OK
CAM-078,2.1.3,2025-03-19,OK
CAM-079,2.1.0,2025-03-20,OK
CAM-080,2.1.3,2025-03-21,OK
CAM-081,2.1.0,2025-03-22,OK
CAM-082,2.2.0,2025-03-23,OK
CAM-083,2.2.0,2025-03-24,OK
CAM-084,2.1.3,2025-03-25,FAIL
CAM-085,2.2.0,2025-03-26,FAIL
CAM-086,2.1.0,2025-03-27,OK
CAM-087,2.1.3,2025-03-28,OK
CAM-088,2.2.0,2025-03-29,OK
CAM-089,2.2.0,2025-03-30,OK
CAM-090,2.1.3,2025-03-31,OK
CAM-091,2.2.0,2025-04-01,OK
CAM-092,2.2.0,2025-04-02,OK
CAM-093,2.1.3,2025-04-03,OK
CAM-094,2.2.0,2025-04-04,OK
CAM-095,2.2.0,2025-04-05,OK
CAM-096,2.2.0,2025-04-06,OK
CAM-097,2.2.0,2025-04-07,OK
CAM-098,2.1.3,2025-04-08,OK
CAM-099,2.1.0,2025-04-09,OK
CAM-100,2.1.0,2025-04-10,OK
CAM-101,2.2.0,2025-04-11,OK
CAM-102,2.2.0,2025-04-12,OK
CAM-103,2.1.0,2025-04-13,OK
CAM-104,2.2.0,2025-04-14,OK
CAM-105,2.1.0,2025-04-15,OK
CAM-106,2.1.3,2025-04-16,OK
CAM-107,2.1.3,2025-04-17,OK
CAM-108,2.1.3,2025-04-18,FAIL
CAM-109,2.1.3,2025-04-19,OK
CAM-110,2.1.3,2025-04-20,OK
CAM-111,2.1.3,2025-04-21,OK
CAM-112,2.1.0,2025-04-22,FAIL
CAM-113,2.2.0,2025-04-23,OK
CAM-114,2.1.0,2025-04-24,OK
CAM-115,2.1.3,2025-04-25,OK
CAM-116,2.2.0,2025-04-26,FAIL
CAM-117,2.2.0,2025-04-27,OK
CAM-118,2.1.3,2025-04-28,OK
CAM-119,2.1.3,2025-04-29,OK
CAM-120,2.1.3,2025-04-30,OK
CAM-121,2.1.3,2025-05-01,WARN
CAM-122,2.1.3,2025-05-02,OK
CAM-123,2.1.3,2025-05-03,OK
CAM-124,2.2.0,2025-05-04,WARN
CAM-125,2.1.3,2025-05-05,FAIL
CAM-126,2.1.3,2025-05-06,OK
CAM-127,2.2.0,2025-05-07,OK
CAM-128,2.1.0,2025-05-08,OK
CAM-129,2.1.3,2025-05-09,OK
CAM-130,2.2.0,2025-05-10,WARN
CAM-131,2.2.0,2025-05-11,WARN
CAM-132,2.1.0,2025-05-12,OK
CAM-133,2.1.3,2025-05-13,FAIL
CAM-134,2.1.3,2025-05-14,OK
CAM-135,2.1.3,2025-05-15,OK
CAM-136,2.2.0,2025-05-16,OK
CAM-137,2.1.3,2025-05-17,WARN
CAM-138,2.1.3,2025-05-18,OK
CAM-139,2.1.3,2025-05-19,OK
CAM-140,2.1.3,2025-05-20,WARN
CAM-141,2.1.0,2025-05-21,OK
CAM-142,2.1.0,2025-05-22,OK
CAM-143,2.1.0,2025-05-23,WARN
CAM-144,2.1.3,2025-05-24,OK
CAM-145,2.1.3,2025-05-25,WARN
CAM-146,2.2.0,2025-05-26,WARN
CAM-147,2.2.0,2025-05-27,OK
CAM-148,2.2.0,2025-05-28,OK
CAM-149,2.1.3,2025-05-29,OK
CAM-150,2.1.0,2025-05-30,OK
