event_id,problem,column,original_value,corrupted_value
EVT_00156,missing_value,incident_distance_m,76.4,
EVT_00928,missing_value,visibility_m,2302.6,
EVT_00931,missing_value,signal_wait_time_s,41,
EVT_00272,missing_value,signal_wait_time_s,70.0,
EVT_01618,missing_value,camera_exposure_score,64.4,
EVT_01237,missing_value,road_occupancy_pct,39.5,
EVT_01579,missing_value,rain_intensity_mmhr,0.0,
EVT_00316,missing_value,ambient_temperature_c,32.5,
EVT_00365,missing_value,incident_distance_m,31.5,
EVT_01012,missing_value,noise_level_db,53.8,
EVT_00706,missing_value,signal_wait_time_s,86.0,
EVT_00249,missing_value,humidity_pct,83.6,
EVT_01340,missing_value,road_occupancy_pct,38.6,
EVT_01642,missing_value,lane_marking_visibility_pct,93.8,
EVT_01542,missing_value,visibility_m,1893.2,
EVT_01354,missing_value,visibility_m,2492.4,
EVT_01587,missing_value,visibility_m,859.6,
EVT_01838,missing_value,ambient_temperature_c,25.5,
EVT_01647,missing_value,noise_level_db,56.4,
EVT_00216,missing_value,road_occupancy_pct,31.4,
EVT_01620,missing_value,camera_exposure_score,23.2,
EVT_00762,missing_value,lane_marking_visibility_pct,62.4,
EVT_00575,missing_value,signal_wait_time_s,32.0,
EVT_00870,missing_value,avg_vehicle_speed_kmph,32.3,
EVT_00547,missing_value,incident_distance_m,119.1,
EVT_00046,missing_value,incident_distance_m,40.5,
EVT_01025,missing_value,visibility_m,1813.6,
EVT_01065,missing_value,avg_vehicle_speed_kmph,6.4,
EVT_01298,missing_value,signal_wait_time_s,107.0,
EVT_00735,missing_value,camera_exposure_score,23.9,
EVT_01668,missing_value,visibility_m,1114.6,
EVT_01085,missing_value,road_wetness_pct,49.7,
EVT_01739,missing_value,camera_exposure_score,53.4,
EVT_01667,missing_value,noise_level_db,47.7,
EVT_01965,missing_value,incident_distance_m,35.7,
EVT_01273,missing_value,rain_intensity_mmhr,0.0,
EVT_01438,missing_value,lane_marking_visibility_pct,77.7,
EVT_01107,missing_value,ambient_temperature_c,25.0,
EVT_00560,missing_value,road_occupancy_pct,35.7,
EVT_00751,missing_value,avg_vehicle_speed_kmph,19.2,
EVT_01998,missing_value,noise_level_db,51.0,
EVT_01487,missing_value,rain_intensity_mmhr,1.05,
EVT_01201,missing_value,road_occupancy_pct,59.5,
EVT_01849,missing_value,ambient_temperature_c,27.5,
EVT_00588,missing_value,camera_exposure_score,6.3,
EVT_01089,missing_value,signal_wait_time_s,55.0,
EVT_01037,missing_value,rain_intensity_mmhr,0.0,
EVT_00810,missing_value,road_occupancy_pct,20.3,
EVT_00174,missing_value,ambient_temperature_c,21.6,
EVT_01260,missing_value,avg_vehicle_speed_kmph,39.3,
EVT_00746,missing_value,ambient_temperature_c,28.5,
EVT_00287,missing_value,lane_marking_visibility_pct,69.6,
EVT_00647,missing_value,road_wetness_pct,6.5,
EVT_01213,missing_value,ambient_temperature_c,18.6,
EVT_00689,missing_value,avg_vehicle_speed_kmph,45.8,
EVT_01038,missing_value,road_wetness_pct,5.0,
EVT_00474,missing_value,signal_wait_time_s,32.0,
EVT_00317,missing_value,noise_level_db,67.9,
EVT_01346,missing_value,rain_intensity_mmhr,0.0,
EVT_00829,missing_value,noise_level_db,56.1,
EVT_01712,missing_value,ambient_temperature_c,27.3,
EVT_01782,missing_value,road_occupancy_pct,88.0,
EVT_00611,missing_value,camera_exposure_score,18.6,
EVT_00405,missing_value,ambient_temperature_c,30.7,
EVT_00147,missing_value,lane_marking_visibility_pct,81.7,
EVT_00606,missing_value,humidity_pct,66.4,
EVT_01590,missing_value,humidity_pct,74.2,
EVT_00535,missing_value,avg_vehicle_speed_kmph,16.3,
EVT_01988,missing_value,signal_wait_time_s,0.0,
EVT_01380,missing_value,rain_intensity_mmhr,0.0,
EVT_01976,missing_value,humidity_pct,76.9,
EVT_01315,missing_value,noise_level_db,62.5,
EVT_00136,missing_value,incident_distance_m,422.1,
EVT_00547,missing_value,road_wetness_pct,18.1,
EVT_01090,missing_value,road_occupancy_pct,57.7,
EVT_01557,missing_value,rain_intensity_mmhr,0.0,
EVT_00920,missing_value,noise_level_db,48.4,
EVT_00197,missing_value,rain_intensity_mmhr,17.23,
EVT_00451,missing_value,road_occupancy_pct,78.9,
EVT_01399,missing_value,avg_vehicle_speed_kmph,46.9,
EVT_00302,missing_value,camera_exposure_score,11.9,
EVT_01279,missing_value,visibility_m,2128.9,
EVT_01509,missing_value,lane_marking_visibility_pct,74.1,
EVT_00771,missing_value,avg_vehicle_speed_kmph,16.8,
EVT_01002,missing_value,signal_wait_time_s,43.0,
EVT_00463,missing_value,signal_wait_time_s,27.0,
EVT_00721,missing_value,road_wetness_pct,51.7,
EVT_00569,missing_value,road_occupancy_pct,47.2,
EVT_00695,missing_value,camera_exposure_score,67.5,
EVT_01804,missing_value,lane_marking_visibility_pct,96.7,
EVT_00503,missing_value,humidity_pct,59.8,
EVT_00035,missing_value,road_occupancy_pct,67.0,
EVT_01599,missing_value,rain_intensity_mmhr,0.0,
EVT_01710,missing_value,rain_intensity_mmhr,14.33,
EVT_01268,missing_value,lane_marking_visibility_pct,70.7,
EVT_01094,missing_value,humidity_pct,56.5,
EVT_01928,missing_value,signal_wait_time_s,23.0,
EVT_00972,missing_value,incident_distance_m,301.0,
EVT_01369,missing_value,humidity_pct,75.9,
EVT_00433,missing_value,avg_vehicle_speed_kmph,64.7,
EVT_00847,missing_value,road_wetness_pct,6.2,
EVT_01098,missing_value,avg_vehicle_speed_kmph,32.4,
EVT_00330,missing_value,camera_exposure_score,68.1,
EVT_01149,missing_value,signal_wait_time_s,18.0,
EVT_01224,missing_value,visibility_m,2271.1,
EVT_00626,missing_value,lane_marking_visibility_pct,79.7,
EVT_00429,missing_value,camera_exposure_score,70.8,
EVT_00322,missing_value,incident_distance_m,132.2,
EVT_01624,missing_value,lane_marking_visibility_pct,59.1,
EVT_00389,missing_value,visibility_m,797.5,
EVT_00793,missing_value,humidity_pct,63.2,
EVT_00223,missing_value,humidity_pct,69.8,
EVT_01025,missing_value,noise_level_db,58.1,
EVT_01373,missing_value,road_wetness_pct,29.8,
EVT_00775,missing_value,rain_intensity_mmhr,12.11,
EVT_00116,missing_value,noise_level_db,47.7,
EVT_01383,missing_value,rain_intensity_mmhr,1.26,
EVT_01987,missing_value,road_occupancy_pct,26.7,
EVT_01717,missing_value,camera_exposure_score,31.0,
EVT_00104,missing_value,humidity_pct,56.0,
EVT_00330,missing_value,rain_intensity_mmhr,3.02,
EVT_01356,missing_value,avg_vehicle_speed_kmph,37.4,
EVT_00474,missing_value,visibility_m,1538.6,
EVT_00091,missing_value,incident_distance_m,53.6,
EVT_01328,missing_value,ambient_temperature_c,24.0,
EVT_01478,missing_value,road_wetness_pct,2.3,
EVT_00754,missing_value,camera_exposure_score,74.5,
EVT_00077,missing_value,rain_intensity_mmhr,0.0,
EVT_00640,missing_value,lane_marking_visibility_pct,89.4,
EVT_00373,missing_value,noise_level_db,63.4,
EVT_00676,missing_value,ambient_temperature_c,18.0,
EVT_00765,missing_value,incident_distance_m,251.8,
EVT_00279,missing_value,lane_marking_visibility_pct,78.7,
EVT_00189,missing_value,road_occupancy_pct,85.9,
EVT_00860,missing_value,signal_wait_time_s,9.0,
EVT_00931,missing_value,rain_intensity_mmhr,0.0,
EVT_00451,missing_value,rain_intensity_mmhr,2.45,
EVT_00973,missing_value,humidity_pct,62.4,
EVT_00252,missing_value,incident_distance_m,4.2,
EVT_00818,missing_value,road_occupancy_pct,27.1,
EVT_00806,missing_value,lane_marking_visibility_pct,72.4,
EVT_00328,missing_value,road_occupancy_pct,21.9,
EVT_01925,missing_value,ambient_temperature_c,23.1,
EVT_00815,missing_value,ambient_temperature_c,31.6,
EVT_01222,missing_value,humidity_pct,62.1,
EVT_00756,missing_value,noise_level_db,57.2,
EVT_00336,missing_value,road_wetness_pct,1.2,
EVT_00294,missing_value,visibility_m,2593.2,
EVT_01533,missing_value,incident_distance_m,120.6,
EVT_00196,missing_value,avg_vehicle_speed_kmph,39.0,
EVT_01936,missing_value,incident_distance_m,260.8,
EVT_00731,missing_value,visibility_m,1209.5,
EVT_00461,missing_value,noise_level_db,59.8,
EVT_00157,missing_value,road_wetness_pct,8.7,
EVT_01596,missing_value,humidity_pct,57.4,
EVT_01363,missing_value,signal_wait_time_s,22.0,
EVT_01408,missing_value,noise_level_db,60.6,
EVT_00651,missing_value,visibility_m,1031.9,
EVT_00519,missing_value,lane_marking_visibility_pct,84.7,
EVT_00225,missing_value,avg_vehicle_speed_kmph,56.7,
EVT_01464,missing_value,road_wetness_pct,7.2,
EVT_01597,missing_value,avg_vehicle_speed_kmph,16.7,
EVT_01634,missing_value,noise_level_db,53.1,
EVT_00009,missing_value,road_wetness_pct,2.3,
EVT_00056,missing_value,avg_vehicle_speed_kmph,4.4,
EVT_00140,missing_value,ambient_temperature_c,23.8,
EVT_00977,missing_value,lane_marking_visibility_pct,69.2,
EVT_01376,missing_value,road_occupancy_pct,45.6,
EVT_01797,missing_value,visibility_m,2440.2,
EVT_00664,missing_value,rain_intensity_mmhr,3.51,
EVT_00794,missing_value,ambient_temperature_c,24.7,
EVT_00381,missing_value,road_wetness_pct,12.6,
EVT_01719,missing_value,humidity_pct,83.2,
EVT_00587,missing_value,signal_wait_time_s,35.0,
EVT_01352,missing_value,avg_vehicle_speed_kmph,9.7,
EVT_01544,missing_value,visibility_m,1097.8,
EVT_00797,missing_value,rain_intensity_mmhr,0.0,
EVT_00222,missing_value,noise_level_db,44.9,
EVT_00638,missing_value,ambient_temperature_c,26.3,
EVT_00641,missing_value,noise_level_db,54.1,
EVT_01923,missing_value,avg_vehicle_speed_kmph,22.6,
EVT_00107,missing_value,road_wetness_pct,2.2,
EVT_01571,missing_value,noise_level_db,48.4,
EVT_01944,missing_value,noise_level_db,52.8,
EVT_01728,missing_value,incident_distance_m,63.7,
EVT_00398,missing_value,signal_wait_time_s,17.0,
EVT_01269,missing_value,avg_vehicle_speed_kmph,34.3,
EVT_00772,missing_value,incident_distance_m,122.9,
EVT_00875,missing_value,rain_intensity_mmhr,0.0,
EVT_00863,missing_value,road_wetness_pct,30.9,
EVT_01467,missing_value,noise_level_db,52.7,
EVT_01834,missing_value,signal_wait_time_s,27.0,
EVT_01295,missing_value,signal_wait_time_s,80.0,
EVT_01476,missing_value,road_wetness_pct,7.6,
EVT_01556,missing_value,humidity_pct,53.3,
EVT_00448,missing_value,signal_wait_time_s,26.0,
EVT_01564,missing_value,noise_level_db,47.7,
EVT_01299,missing_value,road_occupancy_pct,52.5,
EVT_01791,missing_value,noise_level_db,50.1,
EVT_00150,missing_value,avg_vehicle_speed_kmph,4.3,
EVT_00486,missing_value,humidity_pct,72.2,
EVT_01360,missing_value,avg_vehicle_speed_kmph,6.8,
EVT_00632,missing_value,ambient_temperature_c,32.8,
EVT_00485,missing_value,incident_distance_m,37.6,
EVT_01558,missing_value,ambient_temperature_c,31.2,
EVT_01930,missing_value,visibility_m,1187.2,
EVT_01037,missing_value,incident_distance_m,4.7,
EVT_00852,missing_value,camera_exposure_score,2.8,
EVT_00715,missing_value,visibility_m,2228.6,
EVT_00021,missing_value,avg_vehicle_speed_kmph,35.3,
EVT_00185,missing_value,humidity_pct,68.8,
EVT_01150,missing_value,ambient_temperature_c,20.1,
EVT_00467,missing_value,road_occupancy_pct,53.4,
EVT_01530,missing_value,road_wetness_pct,63.0,
EVT_01553,missing_value,signal_wait_time_s,23.0,
EVT_00262,missing_value,avg_vehicle_speed_kmph,55.0,
EVT_00177,missing_value,road_wetness_pct,57.0,
EVT_00625,missing_value,road_occupancy_pct,34.5,
EVT_00454,missing_value,lane_marking_visibility_pct,75.1,
EVT_01239,missing_value,lane_marking_visibility_pct,91.2,
EVT_01018,missing_value,incident_distance_m,235.0,
EVT_00998,missing_value,signal_wait_time_s,24.0,
EVT_00603,missing_value,lane_marking_visibility_pct,75.0,
EVT_00153,missing_value,ambient_temperature_c,32.2,
EVT_01762,missing_value,road_occupancy_pct,89.9,
EVT_01861,missing_value,visibility_m,1794.0,
EVT_01932,missing_value,noise_level_db,58.0,
EVT_00913,missing_value,lane_marking_visibility_pct,77.8,
EVT_00385,missing_value,rain_intensity_mmhr,0.0,
EVT_01186,missing_value,road_occupancy_pct,37.4,
EVT_00328,missing_value,humidity_pct,70.1,
EVT_00277,missing_value,visibility_m,1166.8,
EVT_01785,missing_value,road_occupancy_pct,43.3,
