event_id,road_occupancy_pct,pedestrian_count,vehicle_count,avg_vehicle_speed_kmph,signal_wait_time_s,time_of_day_hr,noise_level_db,ambient_temperature_c,camera_exposure_score,humidity_pct,label
EVT_00001,51.7,8,27,13.0,49,10.53,53.0,32.0,72.4,60.7,Free_Flow
EVT_00002,36.9,9,39,14.3,56,17.87,62.1,30.4,20.1,72.5,Incident
EVT_00003,39.9,1,18,49.1,32,7.12,53.9,18.3,48.3,70.0,Free_Flow
EVT_00004,30.5,6,21,12.8,48,15.94,46.3,26.8,64.9,53.7,Incident
EVT_00005,20.9,10,21,23.1,56,17.21,58.9,31.8,32.0,70.9,Incident
EVT_00006,72.0,6,57,40.1,64,8.21,64.8,18.6,56.0,71.4,Heavy_Traffic
EVT_00007,13.4,1,4,26.5,8,23.24,56.5,18.5,38.2,60.5,Low_Activity
EVT_00008,45.7,34,21,24.2,44,9.14,44.6,26.0,53.1,55.7,Pedestrian_Event
EVT_00009,76.1,2,37,20.6,56,3.15,52.3,15.5,23.5,63.3,Incident
EVT_00010,29.8,14,13,34.4,3,14.82,51.9,32.3,76.4,55.0,Free_Flow
EVT_00011,30.3,11,38,30.2,66,19.62,62.8,31.1,7.8,63.0,Pedestrian_Event
EVT_00012,57.3,2,22,17.5,48,3.23,57.2,26.4,24.8,71.4,Incident
EVT_00013,66.5,28,33,33.2,11,12.02,56.8,27.2,88.9,85.7,Pedestrian_Event
EVT_00014,46.8,36,24,26.8,1,12.09,59.1,24.6,86.0,75.2,Pedestrian_Event
EVT_00015,80.5,11,33,20.6,54,18.2,66.5,28.1,45.9,62.2,Heavy_Traffic
EVT_00016,76.2,5,30,20.9,55,18.98,62.3,27.2,17.4,68.2,Heavy_Traffic
EVT_00017,50.8,3,38,27.2,72,5.73,60.5,23.4,3.2,68.2,Incident
EVT_00018,0.0,0,13,22.2,34,23.38,50.6,21.8,26.8,69.3,Low_Activity
EVT_00019,47.0,13,19,17.2,55,13.31,55.7,29.8,76.7,69.8,Free_Flow
EVT_00020,17.3,1,6,51.2,28,23.32,49.7,23.3,37.2,66.6,Low_Activity
EVT_00021,9.9,5,0,35.3,30,9.31,50.8,28.3,90.4,63.4,Free_Flow
EVT_00022,13.5,1,2,54.2,3,23.2,56.2,22.1,0.0,69.8,Low_Activity
EVT_00023,34.1,4,30,30.6,14,18.55,59.8,23.3,20.1,68.6,Free_Flow
EVT_00024,12.3,1,6,39.4,8,5.67,37.6,30.5,1.1,56.5,Low_Activity
EVT_00025,26.8,10,33,45.9,10,6.57,67.3,21.6,35.1,51.5,Free_Flow
EVT_00026,14.5,4,19,34.8,19,11.02,62.1,31.8,74.7,64.4,Free_Flow
EVT_00027,8.5,12,12,17.4,24,14.2,56.6,30.5,75.1,51.3,Pedestrian_Event
EVT_00028,48.4,7,35,15.8,99,9.34,62.5,22.6,73.2,55.0,Heavy_Traffic
EVT_00029,16.1,2,0,72.9,33,0.98,54.2,22.7,27.0,80.1,Free_Flow
EVT_00030,66.2,11,38,25.8,61,7.78,62.1,21.5,37.6,82.1,Heavy_Traffic
EVT_00031,35.3,7,10,32.1,24,16.02,48.8,32.4,62.3,55.5,Free_Flow
EVT_00032,46.2,4,17,42.2,45,20.89,54.0,25.4,24.0,68.0,Free_Flow
EVT_00033,46.9,4,21,29.7,55,13.48,48.2,30.9,71.8,60.2,Pedestrian_Event
EVT_00034,64.5,22,35,10.1,45,7.19,69.2,17.3,36.3,100.0,Heavy_Traffic
EVT_00035,67.0,8,33,7.3,97,8.31,55.4,22.1,51.4,66.5,Heavy_Traffic
EVT_00036,39.8,29,27,11.9,59,13.01,63.9,31.2,84.2,85.1,Pedestrian_Event
EVT_00037,76.7,8,11,9.9,43,17.8,54.5,30.2,35.9,58.0,Incident
EVT_00038,65.2,10,7,17.0,47,11.07,55.6,28.4,88.7,72.8,Incident
EVT_00039,58.7,5,21,28.1,69,8.94,59.9,27.1,60.5,56.4,Heavy_Traffic
EVT_00040,77.7,12,46,13.0,126,12.39,69.7,30.7,83.3,66.7,Heavy_Traffic
EVT_00041,48.5,1,42,15.3,34,20.65,56.9,26.7,15.5,62.5,Incident
EVT_00042,82.4,7,46,25.6,100,9.53,62.9,24.2,70.9,83.1,Heavy_Traffic
EVT_00043,29.8,3,15,63.5,38,5.98,53.5,27.9,4.9,42.7,Free_Flow
EVT_00044,24.0,6,25,47.0,18,8.26,53.7,22.0,77.0,84.2,Free_Flow
EVT_00045,46.9,3,39,18.7,51,17.0,69.3,28.3,58.9,90.9,Heavy_Traffic
EVT_00046,31.9,15,25,24.9,28,10.28,67.6,28.8,70.2,67.7,Pedestrian_Event
EVT_00047,36.1,3,17,58.2,28,7.13,54.4,19.6,43.9,56.1,Free_Flow
EVT_00048,39.8,8,36,12.8,107,20.32,65.6,28.4,19.5,73.0,Heavy_Traffic
EVT_00049,37.9,32,38,30.0,0,19.63,64.7,28.8,19.7,50.1,Pedestrian_Event
EVT_00050,18.9,5,12,31.3,8,19.34,36.7,24.3,12.6,69.9,Free_Flow
EVT_00051,11.5,2,13,43.8,19,14.63,44.8,27.8,75.7,69.5,Free_Flow
EVT_00052,73.3,24,15,14.6,27,16.15,51.2,30.4,44.0,64.6,Pedestrian_Event
EVT_00053,35.7,24,3,35.5,19,15.08,56.2,34.8,78.2,46.8,Pedestrian_Event
