event_id,vehicle_count,avg_vehicle_speed_kmph,road_occupancy_pct,pedestrian_count,time_of_day_hr,visibility_m,rain_intensity_mmhr,signal_wait_time_s,road_wetness_pct,incident_distance_m,noise_level_db,ambient_temperature_c,humidity_pct,camera_exposure_score,camera_focus_score,lane_marking_visibility_pct,label
EVT_00001,27,13.0,51.7,8,10.53,1705.1,1.4,49,14.7,47.4,53.0,32.0,60.7,72.4,83.4,93.4,Free_Flow
EVT_00002,39,14.3,36.9,9,17.87,2175.1,3.54,56,33.0,4.6,62.1,30.4,72.5,20.1,83.6,79.1,Incident
EVT_00003,18,49.1,39.9,1,7.12,1685.0,6.88,32,29.9,103.7,53.9,18.3,70.0,48.3,87.1,87.6,Free_Flow
EVT_00004,21,12.8,30.5,6,15.94,2058.0,0.0,48,1.2,9.1,46.3,26.8,53.7,64.9,79.2,88.2,Incident
EVT_00005,21,23.1,20.9,10,17.21,2002.5,0.0,56,3.4,15.7,58.9,31.8,70.9,32.0,81.2,82.7,Incident
EVT_00006,57,40.1,72.0,6,8.21,2098.3,3.37,64,46.2,50.8,64.8,18.6,71.4,56.0,99.3,82.8,Heavy_Traffic
EVT_00007,4,26.5,13.4,1,23.24,1412.9,1.79,8,28.1,110.7,56.5,18.5,60.5,38.2,98.9,78.2,Low_Activity
EVT_00008,21,24.2,45.7,34,9.14,2080.9,0.0,44,4.0,212.2,44.6,26.0,55.7,53.1,79.4,88.2,Pedestrian_Event
EVT_00009,37,20.6,76.1,2,3.15,844.3,0.0,56,2.3,112.9,52.3,15.5,63.3,23.5,95.0,78.7,Incident
EVT_00010,13,34.4,29.8,14,14.82,2839.1,0.0,3,7.4,37.0,51.9,32.3,55.0,76.4,93.6,92.3,Free_Flow
EVT_00011,38,30.2,30.3,11,19.62,1102.5,0.0,66,1.0,40.2,62.8,31.1,63.0,7.8,82.5,88.3,Pedestrian_Event
EVT_00012,22,17.5,57.3,2,3.23,792.1,0.0,48,1.5,35.0,57.2,26.4,71.4,24.8,99.1,89.9,Incident
EVT_00013,33,33.2,66.5,28,12.02,1740.8,5.12,11,55.6,50.4,56.8,27.2,85.7,88.9,80.8,68.9,Pedestrian_Event
EVT_00014,24,26.8,46.8,36,12.09,1492.8,0.0,1,5.3,416.4,59.1,24.6,75.2,86.0,92.3,85.7,Pedestrian_Event
EVT_00015,33,20.6,80.5,11,18.2,2009.8,0.0,54,4.4,48.4,66.5,28.1,62.2,45.9,74.0,79.4,Heavy_Traffic
EVT_00016,30,20.9,76.2,5,18.98,2003.7,1.32,55,10.2,276.2,62.3,27.2,68.2,17.4,85.1,97.1,Heavy_Traffic
EVT_00017,38,27.2,50.8,3,5.73,1320.8,0.42,72,44.9,119.7,60.5,23.4,68.2,3.2,93.0,72.7,Incident
EVT_00018,13,22.2,0.0,0,23.38,754.7,0.0,34,29.1,77.5,50.6,21.8,69.3,26.8,83.5,91.5,Low_Activity
